EventName,EventPageUrl,TextFileName,ImgUrl,SocietyUrl
Liderlik Kampı'20,https://kampusetkinlikleri.com/etkinlik/1491/liderlik-kampi-20,6886601143213928017,img/Etkinlik/Big/liderlik-kampi-2020200218-233634.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/122/endustri-ve-verimlilik-toplulugu
Liderlik Kampı'20,https://kampusetkinlikleri.com/etkinlik/1494/liderlik-kampi-20,6886601143213928017,img/Etkinlik/Big/liderlik-kampi-20-20200218-233923.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/122/endustri-ve-verimlilik-toplulugu
Unicera Fuarı,https://kampusetkinlikleri.com/etkinlik/1480/unicera-fuari,4283612993030996635,img/Etkinlik/Big/unicera-fuari20200203-232222.png,https://kampusetkinlikleri.com/kulup-sayfasi/291/ytu-malzeme-bilimleri-kulubu
Business For ALL'20,https://kampusetkinlikleri.com/etkinlik/1495/business-for-all-20,-1208814368297285790,img/Etkinlik/Big/business-for-all-20-20200220-091035.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/353/operational-research-kulubu
Bireysel Gelişim Günleri,https://kampusetkinlikleri.com/etkinlik/1501/bireysel-gelisim-gunleri,-310132381065411546,img/Etkinlik/Big/bireysel-gelisim-gunleri-20200227-213354.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/101/verimlilik-toplulugu
5.Psikoloji Kulübü,https://kampusetkinlikleri.com/etkinlik/1489/5.psikoloji-kulubu,8482742843356922424,img/Etkinlik/Big/5.psikoloji-kulubu-20200212-180311.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/513/dogus-universitesi-psikoloji-kulubu
5.Psikoloji Günleri,https://kampusetkinlikleri.com/etkinlik/1492/5.psikoloji-gunleri,3004770634501466698,img/Etkinlik/Big/5.psikoloji-gunleri-20200216-193627.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/513/dogus-universitesi-psikoloji-kulubu
Technovation,https://kampusetkinlikleri.com/etkinlik/1497/technovation,1026313204300143542,img/Etkinlik/Big/technovation20200224-131011.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/491/girisimcilik-kulubu
Yatırım Eğitimi,https://kampusetkinlikleri.com/etkinlik/1498/yatirim-egitimi,-5136625781059463245,img/Etkinlik/Big/yatirim-egitimi-20200225-100657.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/431/koc-universitesi-ekonomi-kulubu
Dünya Kadınlar Günü ,https://kampusetkinlikleri.com/etkinlik/1500/dunya-kadinlar-gunu,-1399453487203722919,img/Etkinlik/Big/dunya-kadinlar-gunu-20200227-094932.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/511/is-dunyasinda-kadin
Yükselen Teknoloji PLUS,https://kampusetkinlikleri.com/etkinlik/1475/yukselen-teknoloji-plus,-8812960827673203933,img/Etkinlik/Big/yukselen-teknoloji-plus-20200125-182733.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/507/ieee-beykent
Genç Mühendis Günleri (GENÇMÜH'20),https://kampusetkinlikleri.com/etkinlik/1499/genc-muhendis-gunleri-gencmuh-20,-4722091479313932102,img/Etkinlik/Big/genc-muhendis-gunleri-20200227-094403.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/452/kimya-muhendisleri-toplulugu
Global Opportunities in Business and Investment,https://kampusetkinlikleri.com/etkinlik/1454/global-opportunities-in-business-and-investment,4784939950627385816,img/Etkinlik/Big/global-opportunities-in-business-and-investment-20191215-233011.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/72/yatirim-kulubu
Malzeme Günleri'20,https://kampusetkinlikleri.com/etkinlik/1479/malzeme-gunleri-20,3957809681566639438,img/Etkinlik/Big/malzeme-gunleri-20-20200203-224730.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/291/ytu-malzeme-bilimleri-kulubu
YENİ İŞİM GİRİŞİM ,https://kampusetkinlikleri.com/etkinlik/1476/yeni-isim-girisim,-5682484564893580210,img/Etkinlik/Big/yeni-isim-girisim-20200131-170243.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/464/isletme-ve-ekonomi-kulubu
CivilCon'20,https://kampusetkinlikleri.com/etkinlik/1472/civilcon-20,-7741822179806564337,img/Etkinlik/Big/civilcon-20-20200110-094612.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/274/muhendislige-hazirlik-kulubu
Startup Mockup Yarışma Başvuruları,https://kampusetkinlikleri.com/etkinlik/1473/startup-mockup-yarisma-basvurulari,-4107183971904041383,img/Etkinlik/Big/startup-mockup-yarisma-basvurulari-20200113-142316.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/491/girisimcilik-kulubu
Zonguldak Bülent Ecevit Üniversitesi Ekonomi ve Finans Zirvesi 2020,https://kampusetkinlikleri.com/etkinlik/1474/zonguldak-bulent-ecevit-universitesi-ekonomi-ve-finans-zirvesi-2020,-8200962594025386393,img/Etkinlik/Big/zonguldak-bulent-ecevit-universitesi-ekonomi-ve-finans-zirvesi-2020-20200122-142527.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/6/iktisat-kulubu
Business Trip'20,https://kampusetkinlikleri.com/etkinlik/1455/business-trip-20,-767140690168903711,img/Etkinlik/Big/business-trip-2020200107-130948.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/88/business-club
InspecTrends,https://kampusetkinlikleri.com/etkinlik/1486/inspectrends,9035281528403931303,img/Etkinlik/Big/inspectrends-20200209-222425.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/354/yildiz-isletme-kulubu
Ayaküstü Kariyer,https://kampusetkinlikleri.com/etkinlik/1485/ayakustu-kariyer,-5031517296685801374,img/Etkinlik/Big/ayakustu-kariyer-20200207-101217.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/354/yildiz-isletme-kulubu
Ayaküstü Kariyer | CCI,https://kampusetkinlikleri.com/etkinlik/1487/ayakustu-kariyer-cci,-1066106502528237670,img/Etkinlik/Big/ayakustu-kariyer-cci-20200209-222836.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/354/yildiz-isletme-kulubu
7. Malzeme Günleri,https://kampusetkinlikleri.com/etkinlik/1478/7.-malzeme-gunleri,-970322869282563434,img/Etkinlik/Big/7.-malzeme-gunleri20200203-091831.jpeg,https://kampusetkinlikleri.com/kulup-sayfasi/419/itu-metalurji-ve-malzeme-muhendisligi-kulubu
KAMP'20,https://kampusetkinlikleri.com/etkinlik/1468/kamp-20,1398182172634676502,img/Etkinlik/Big/kamp-20-20191224-090430.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/245/koc-pazarlama-kulubu
İTÜ EMÖS(ENDÜSTRİ MÜHENDİSLİĞİ ÖĞRENCİ SEMPOZYUMU),https://kampusetkinlikleri.com/etkinlik/1471/itu-emos-endustri-muhendisligi-ogrenci-sempozyumu,-1285939503856449360,img/Etkinlik/Big/itu-emos-endustri-muhendisligi-ogrenci-sempozyumu-20200106-141638.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/62/endustri-muhendisligi-kulubu
Sınıflarımıza Tekstil Desteği,https://kampusetkinlikleri.com/etkinlik/1514/siniflarimiza-tekstil-destegi,-8417241813099487308,img/Etkinlik/Big/siniflarimiza-tekstil-destegi-20200414-145348.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/207/tekstil-muhendisligi-kulubu
MarkeTech,https://kampusetkinlikleri.com/etkinlik/1439/marketech,-1816247035960806252,img/Etkinlik/Big/marketech-20191203-214557.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/165/marmara-industrial-engineering-society-mies
CV Hazırlama ve Mülakat Teknikleri,https://kampusetkinlikleri.com/etkinlik/1462/cv-hazirlama-ve-mulakat-teknikleri,1092871273238778015,img/Etkinlik/Big/cv-hazirlama-ve-mulakat-teknikleri-20191218-232746.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/477/girisimci-liderler-toplulugu
E-Ticaret Zirvesi,https://kampusetkinlikleri.com/etkinlik/1463/e-ticaret-zirvesi,984570003200870213,img/Etkinlik/Big/e-ticaret-zirvesi-20191220-102452.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/84/isletme-kulubu
15. Genç AKADEMİ,https://kampusetkinlikleri.com/etkinlik/1431/15.-genc-akademi,1088444332561270527,img/Etkinlik/Big/15.-genc-akademi-20191126-133045.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/353/operational-research-kulubu
Sıfırın Altında Marketing'19,https://kampusetkinlikleri.com/etkinlik/1452/sifirin-altinda-marketing-19,1560187205033119271,img/Etkinlik/Big/sifirin-altinda-marketing-19-20191212-195327.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/44/marketing-anadolu-kulubu
Eskişehir Savunma Sanayii Konferansı,https://kampusetkinlikleri.com/etkinlik/1456/eskisehir-savunma-sanayii-konferansi,601737312159405538,img/Etkinlik/Big/eskisehir-savunma-sanayii-konferansi-20191216-205412.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/493/savunma-sanayii-ve-teknolojileri-kulubu-sastek
